Product,Model,Features,Package,Frequency,Tolerance,Stability,Temp,Stock,Load,Capacitance,Overtone,StockDue,More
LFXTAL010506Bulk,12SMX,0.00,0.00,10.000000,30.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL010506Reel,12SMX,0.00,0.00,10.000000,30.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL010736Reel,12SMX,0.00,0.00,14.745600,30.00,50.00,-10.00,60.00,12.00,FUND,True,9 Weeks,12SMX
LFXTAL010860Reel,12SMX,0.00,0.00,32.000000,50.00,100.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL011362Reel,12SMX,0.00,0.00,16.000000,50.00,50.00,-10.00,60.00,32.00,FUND,True,9 Weeks,12SMX
LFXTAL011476Bulk,12SMX,0.00,0.00,20.000000,50.00,100.00,0.00,50.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL011477Bulk,12SMX,0.00,0.00,20.000000,50.00,100.00,0.00,50.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL011663Bulk,12SMX,0.00,0.00,14.745600,50.00,100.00,-10.00,60.00,30.00,FUND,True,9 Weeks,12SMX
LFXTAL011664Bulk,12SMX,0.00,0.00,14.318180,50.00,100.00,-10.00,60.00,30.00,FUND,True,9 Weeks,12SMX
LFXTAL011719Bulk,12SMX,0.00,0.00,14.745600,50.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL011866Bulk,12SMX,0.00,0.00,12.288000,50.00,50.00,0.00,50.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL011884Bulk,12SMX,0.00,0.00,18.432000,50.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL012242Bulk,12SMX,0.00,0.00,12.000000,100.00,100.00,-10.00,60.00,30.00,FUND,True,9 Weeks,12SMX
LFXTAL012368Bulk,12SMX,0.00,0.00,20.000000,100.00,100.00,-10.00,60.00,30.00,FUND,True,9 Weeks,12SMX
LFXTAL012389Bulk,12SMX,0.00,0.00,16.934400,50.00,50.00,-10.00,60.00,30.00,FUND,True,9 Weeks,12SMX
LFXTAL012390Bulk,12SMX,0.00,0.00,16.934400,100.00,100.00,0.00,50.00,30.00,FUND,True,9 Weeks,12SMX
LFXTAL012781Bulk,12SMX,0.00,0.00,14.745600,50.00,100.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL012781Reel,12SMX,0.00,0.00,14.745600,50.00,100.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL012782Bulk,12SMX,0.00,0.00,28.224000,50.00,100.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL012782Reel,12SMX,0.00,0.00,28.224000,50.00,100.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL013103Bulk,12SMX,0.00,0.00,16.934400,50.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL013233Reel,12SMX,0.00,0.00,12.000000,30.00,50.00,-10.00,60.00,30.00,FUND,True,9 Weeks,12SMX
LFXTAL013281Bulk,12SMX,0.00,0.00,24.576000,30.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL013370Reel,12SMX,0.00,0.00,20.000000,50.00,50.00,0.00,50.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL013632Reel,12SMX,0.00,0.00,18.432000,50.00,50.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL013733Bulk,12SMX,0.00,0.00,12.000000,50.00,50.00,-10.00,60.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL013733Reel,12SMX,0.00,0.00,12.000000,50.00,50.00,-10.00,60.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL013935Bulk,12SMX,0.00,0.00,20.000000,30.00,50.00,-10.00,60.00,30.00,FUND,True,9 Weeks,12SMX
LFXTAL014012Bulk,12SMX,0.00,0.00,20.000000,50.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL014012Reel,12SMX,0.00,0.00,20.000000,50.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL014410Bulk,12SMX,0.00,0.00,10.000000,50.00,50.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL014412Bulk,12SMX,0.00,0.00,14.000000,50.00,50.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL014689Reel,12SMX,0.00,0.00,10.000000,50.00,100.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL014796Bulk,12SMX,0.00,0.00,14.745600,30.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL014796Reel,12SMX,0.00,0.00,14.745600,30.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL015157Bulk,12SMX,0.00,0.00,30.000000,50.00,50.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL015512Bulk,12SMX,0.00,0.00,14.318180,30.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL015512Reel,12SMX,0.00,0.00,14.318180,30.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL016498Bulk,12SMX,0.00,0.00,16.000000,30.00,50.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL016499Bulk,12SMX,0.00,0.00,16.000000,50.00,50.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL016499Reel,12SMX,0.00,0.00,16.000000,50.00,50.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL016502Reel,12SMX,0.00,0.00,33.000000,50.00,50.00,-10.00,60.00,15.00,3RD,True,9 Weeks,12SMX
LFXTAL016611Bulk,12SMX,0.00,0.00,10.000000,50.00,50.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
